,toss_decision,avgTeam1,avgTeam2,avgWckTeam1,avgWckTeam2,team1_toss_win,team1_bat
196,1,0.8089887640449438,0.8314606741573034,0.6666666666666666,0.6666666666666666,0.0,0
197,1,0.8932584269662921,0.8033707865168539,0.8333333333333333,0.8333333333333333,0.0,0
198,1,0.7921348314606741,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0
199,1,0.8089887640449438,0.8089887640449438,0.8333333333333333,0.6666666666666666,0.0,0
200,1,0.8932584269662921,0.7865168539325842,0.8333333333333333,0.8333333333333333,0.0,0
201,1,0.8426966292134831,0.8314606741573034,0.0,0.6666666666666666,0.0,0
202,1,0.8033707865168539,0.6123595505617977,0.8333333333333333,0.0,0.0,0
203,1,0.8089887640449438,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0
204,0,0.6123595505617977,0.8033707865168539,0.0,0.8333333333333333,1.0,1
205,1,0.7865168539325842,0.8426966292134831,0.8333333333333333,0.0,0.0,0
206,1,0.7921348314606741,0.8089887640449438,0.6666666666666666,0.8333333333333333,0.0,0
207,1,0.8932584269662921,0.8314606741573034,0.8333333333333333,0.6666666666666666,0.0,0
208,1,0.797752808988764,0.6123595505617977,0.8333333333333333,0.0,0.0,0
209,0,0.8089887640449438,0.8426966292134831,0.8333333333333333,0.0,1.0,1
210,1,0.8089887640449438,0.7921348314606741,0.6666666666666666,0.6666666666666666,0.0,0
211,1,0.6123595505617977,0.8314606741573034,0.0,0.6666666666666666,0.0,0
212,0,0.8033707865168539,0.7865168539325842,0.8333333333333333,0.8333333333333333,1.0,1
213,1,0.8932584269662921,0.8089887640449438,0.8333333333333333,0.6666666666666666,0.0,0
214,1,0.8089887640449438,0.8426966292134831,0.8333333333333333,0.0,0.0,0
215,1,0.7921348314606741,0.7865168539325842,0.6666666666666666,0.8333333333333333,0.0,0
216,0,0.8314606741573034,0.8033707865168539,0.6666666666666666,0.8333333333333333,1.0,1
217,1,0.8932584269662921,0.6123595505617977,0.8333333333333333,0.0,0.0,0
218,1,0.8426966292134831,0.7921348314606741,0.0,0.6666666666666666,0.0,0
219,1,0.7865168539325842,0.8089887640449438,0.8333333333333333,0.8333333333333333,0.0,0
220,1,0.797752808988764,0.8089887640449438,0.8333333333333333,0.6666666666666666,0.0,0
221,0,0.8033707865168539,0.7921348314606741,0.8333333333333333,0.6666666666666666,1.0,1
222,1,0.8932584269662921,0.8089887640449438,0.8333333333333333,0.8333333333333333,0.0,0
223,0,0.8426966292134831,0.797752808988764,0.0,0.8333333333333333,1.0,1
224,0,0.8089887640449438,0.6123595505617977,0.6666666666666666,0.0,1.0,1
225,1,0.8033707865168539,0.8314606741573034,0.8333333333333333,0.6666666666666666,0.0,0
226,0,0.7865168539325842,0.6123595505617977,0.8333333333333333,0.0,1.0,1
227,1,0.8089887640449438,0.8932584269662921,0.6666666666666666,0.8333333333333333,0.0,0
228,1,0.8314606741573034,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0
229,0,0.8033707865168539,0.8089887640449438,0.8333333333333333,0.8333333333333333,1.0,1
230,1,0.8426966292134831,0.8089887640449438,0.0,0.6666666666666666,0.0,0
231,1,0.7921348314606741,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0
232,0,0.7865168539325842,0.8932584269662921,0.8333333333333333,0.8333333333333333,1.0,1
233,1,0.8089887640449438,0.8089887640449438,0.6666666666666666,0.8333333333333333,0.0,0
234,1,0.8314606741573034,0.8426966292134831,0.6666666666666666,0.0,0.0,0
235,1,0.6123595505617977,0.7865168539325842,0.0,0.8333333333333333,0.0,0
236,0,0.8089887640449438,0.797752808988764,0.6666666666666666,0.8333333333333333,1.0,1
237,0,0.8033707865168539,0.8426966292134831,0.8333333333333333,0.0,1.0,1
238,1,0.6123595505617977,0.7921348314606741,0.0,0.6666666666666666,0.0,0
239,0,0.8932584269662921,0.8314606741573034,0.8333333333333333,0.6666666666666666,1.0,1
240,1,0.7865168539325842,0.8089887640449438,0.8333333333333333,0.6666666666666666,0.0,0
241,0,0.8089887640449438,0.6123595505617977,0.8333333333333333,0.0,1.0,1
242,1,0.8033707865168539,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0
243,1,0.7921348314606741,0.8932584269662921,0.6666666666666666,0.8333333333333333,0.0,0
244,1,0.797752808988764,0.8033707865168539,0.8333333333333333,0.8333333333333333,0.0,0
245,1,0.7921348314606741,0.8932584269662921,0.6666666666666666,0.8333333333333333,0.0,0
246,1,0.797752808988764,0.8932584269662921,0.8333333333333333,0.8333333333333333,0.0,0
247,0,0.8033707865168539,0.797752808988764,0.8333333333333333,0.8333333333333333,1.0,1
248,1,0.8595505617977528,0.747191011235955,0.8333333333333333,0.8333333333333333,0.0,0
249,1,0.7134831460674157,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0
250,1,0.7191011235955056,0.747191011235955,0.8333333333333333,0.8333333333333333,0.0,0
251,1,0.6910112359550562,0.8314606741573034,0.6666666666666666,0.8333333333333333,0.0,0
252,1,0.8146067415730337,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0
253,1,0.8595505617977528,0.8146067415730337,0.8333333333333333,0.8333333333333333,0.0,0
254,1,0.6910112359550562,0.7134831460674157,0.6666666666666666,0.8333333333333333,0.0,0
255,0,0.7191011235955056,0.8314606741573034,0.8333333333333333,0.8333333333333333,1.0,1
256,0,0.8146067415730337,0.747191011235955,0.8333333333333333,0.8333333333333333,1.0,1
257,1,0.7134831460674157,0.8146067415730337,0.8333333333333333,0.8333333333333333,0.0,0
258,1,0.8595505617977528,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0
259,1,0.747191011235955,0.6910112359550562,0.8333333333333333,0.6666666666666666,0.0,0
260,0,0.8146067415730337,0.8595505617977528,0.8333333333333333,0.8333333333333333,1.0,1
261,1,0.7191011235955056,0.8314606741573034,0.8333333333333333,0.8333333333333333,0.0,0
262,0,0.6910112359550562,0.7134831460674157,0.6666666666666666,0.8333333333333333,1.0,1
263,0,0.8146067415730337,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
264,0,0.8595505617977528,0.7191011235955056,0.8333333333333333,0.8333333333333333,1.0,1
265,1,0.8314606741573034,0.7134831460674157,0.8333333333333333,0.8333333333333333,0.0,0
266,0,0.6910112359550562,0.8146067415730337,0.6666666666666666,0.8333333333333333,1.0,1
267,1,0.747191011235955,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0
268,0,0.8146067415730337,0.6910112359550562,0.8333333333333333,0.6666666666666666,1.0,1
269,0,0.7191011235955056,0.8146067415730337,0.8333333333333333,0.8333333333333333,1.0,1
270,0,0.8314606741573034,0.7134831460674157,0.8333333333333333,0.8333333333333333,1.0,1
271,0,0.8146067415730337,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
272,1,0.8595505617977528,0.7191011235955056,0.8333333333333333,0.8333333333333333,0.0,0
273,1,0.8314606741573034,0.8146067415730337,0.8333333333333333,0.8333333333333333,0.0,0
274,0,0.6910112359550562,0.8595505617977528,0.6666666666666666,0.8333333333333333,1.0,1
275,1,0.7191011235955056,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0
276,0,0.747191011235955,0.8314606741573034,0.8333333333333333,0.8333333333333333,1.0,1
